PeriodeAttente,Delais_d'attente,Region,Chirurgie_generale,Chirurgie_orthopedique,Chirurgie_plastique,Chirurgie_vasculaire,Neurochirurgie,Obstetrique_et_gynecologie,Ophtalmologie,ORL_chirurgie_cervico_faciale,Urologie,Autres,Total
2122-P07,6 à 12 mois,RSS06,1401,2465,1108,68,157,473,2053,1050,402,234,9411
2122-P07,Plus d'1 an,RSS06,1069,1471,1008,18,80,200,835,425,261,145,5512
2122-P07,0 à 6 mois,RSS07,988,771,96,28,69,153,1467,409,131,56,4168
2122-P07,6 à 12 mois,RSS07,464,459,69,22,31,266,1295,264,62,51,2983
2122-P07,Plus d'1 an,RSS07,312,522,116,13,142,265,200,140,117,101,1928
2122-P07,0 à 6 mois,RSS08,317,432,14,0,0,158,831,46,157,31,1986
2122-P07,6 à 12 mois,RSS08,44,109,0,0,0,16,204,6,37,15,431
2122-P07,Plus d'1 an,RSS08,5,37,0,0,0,7,0,,3,1,53
2122-P07,0 à 6 mois,RSS09,125,149,31,0,0,49,107,90,24,52,627
2122-P07,6 à 12 mois,RSS09,15,10,21,0,0,3,5,25,12,4,95
2122-P07,Plus d'1 an,RSS09,2,0,3,0,0,1,0,5,6,0,17
2122-P07,0 à 6 mois,RSS10,28,0,0,0,0,8,0,1,,0,37
2122-P07,6 à 12 mois,RSS10,0,0,0,0,0,3,0,7,,0,10
2122-P07,0 à 6 mois,RSS11,171,255,2,0,0,50,195,75,14,66,828
2122-P07,6 à 12 mois,RSS11,34,41,0,0,0,1,2,5,,21,104
2122-P07,Plus d'1 an,RSS11,6,3,0,0,0,0,0,1,,0,10
2122-P07,0 à 6 mois,RSS12,765,1032,221,0,0,295,1053,517,334,351,4568
2122-P07,6 à 12 mois,RSS12,189,218,157,0,0,37,254,186,217,83,1341
2122-P07,Plus d'1 an,RSS12,199,46,94,0,0,19,76,76,54,53,617
2122-P07,0 à 6 mois,RSS13,559,462,121,68,0,177,585,342,234,13,2561
2122-P07,6 à 12 mois,RSS13,112,226,26,10,0,58,41,46,41,2,562
2122-P07,Plus d'1 an,RSS13,69,130,23,7,0,42,13,7,7,8,306
2122-P07,0 à 6 mois,RSS14,860,865,309,103,0,218,1495,515,384,103,4852
2122-P07,6 à 12 mois,RSS14,572,415,119,28,0,71,682,364,205,33,2489
2122-P07,Plus d'1 an,RSS14,362,365,171,61,0,29,487,332,176,17,2000
2122-P07,0 à 6 mois,RSS15,1368,1553,264,68,0,464,920,318,286,15,5256
2122-P07,6 à 12 mois,RSS15,454,1401,154,25,0,75,22,169,134,26,2460
2122-P07,Plus d'1 an,RSS15,337,545,163,12,0,46,4,54,186,13,1360
2122-P07,0 à 6 mois,RSS16,2465,3679,479,56,58,1065,3387,1109,722,265,13285
2122-P07,6 à 12 mois,RSS16,875,1734,222,12,31,252,1400,401,222,68,5217
2122-P07,Plus d'1 an,RSS16,628,1666,222,9,64,133,401,230,155,18,3526
2122-P08,0 à 6 mois,RSS01,396,809,0,0,0,143,563,29,295,123,2358
2122-P08,6 à 12 mois,RSS01,142,290,0,0,0,31,19,14,82,27,605
2122-P08,Plus d'1 an,RSS01,103,25,0,0,0,7,11,11,11,9,177
2122-P08,0 à 6 mois,RSS02,640,867,245,49,97,253,783,185,269,154,3542
2122-P08,6 à 12 mois,RSS02,308,344,86,15,35,143,104,97,243,96,1471
2122-P08,Plus d'1 an,RSS02,274,128,73,23,26,51,34,45,179,20,853
2122-P08,0 à 6 mois,RSS03,1817,2569,185,82,215,510,2185,1612,753,429,10357
2122-P08,6 à 12 mois,RSS03,338,1309,154,3,60,98,150,386,136,212,2846
2122-P08,Plus d'1 an,RSS03,50,104,213,0,12,7,10,4,3,30,433
2122-P08,0 à 6 mois,RSS04,772,1186,92,43,71,532,1271,407,428,290,5092
2122-P08,6 à 12 mois,RSS04,250,282,14,17,26,100,381,96,142,137,1445
2122-P08,Plus d'1 an,RSS04,61,51,78,7,1,2,57,2,73,15,347
2122-P08,0 à 6 mois,RSS05,1155,1653,570,42,205,669,2101,593,308,182,7478
2122-P08,6 à 12 mois,RSS05,529,612,291,6,135,387,752,143,100,90,3045
2122-P08,Plus d'1 an,RSS05,362,129,155,0,31,199,99,90,88,59,1212
2122-P08,0 à 6 mois,RSS06,6123,5435,2713,273,448,2456,7449,2761,2037,1593,31288
2122-P08,6 à 12 mois,RSS06,1468,2380,1184,71,171,538,1934,1030,381,233,9390
2122-P08,Plus d'1 an,RSS06,1007,1530,1022,20,79,177,871,456,282,160,5604
2122-P08,0 à 6 mois,RSS07,914,751,104,30,57,114,1571,453,143,59,4196
2122-P08,6 à 12 mois,RSS07,470,453,57,16,34,229,1105,266,55,45,2730
2122-P08,Plus d'1 an,RSS07,283,526,98,8,141,305,184,161,120,73,1899
2122-P08,0 à 6 mois,RSS08,312,467,11,0,0,161,771,36,167,56,1981
2122-P08,6 à 12 mois,RSS08,44,106,0,0,0,11,230,3,50,6,450
2122-P08,Plus d'1 an,RSS08,2,31,0,0,0,7,0,,4,1,45
2122-P08,0 à 6 mois,RSS09,108,146,17,0,0,51,77,110,22,46,577
2122-P08,6 à 12 mois,RSS09,16,9,27,0,0,3,6,19,7,7,94
2122-P08,Plus d'1 an,RSS09,3,0,11,0,0,1,1,2,4,0,22
2122-P08,0 à 6 mois,RSS10,38,0,0,0,0,7,0,,,4,49
2122-P08,6 à 12 mois,RSS10,0,0,0,0,0,3,0,8,,0,11
2122-P08,Plus d'1 an,RSS10,0,0,0,0,0,1,0,,,0,1
2122-P08,0 à 6 mois,RSS11,175,252,2,0,0,48,206,81,4,74,842
2122-P08,6 à 12 mois,RSS11,32,45,0,0,0,1,1,8,,27,114
2122-P08,Plus d'1 an,RSS11,8,5,0,0,0,0,0,1,,1,15
2122-P08,0 à 6 mois,RSS12,789,989,204,0,0,263,821,535,328,356,4285
2122-P08,6 à 12 mois,RSS12,161,266,163,0,0,36,312,213,225,88,1464
2122-P08,Plus d'1 an,RSS12,188,44,86,0,0,15,61,73,65,53,585
2122-P08,0 à 6 mois,RSS13,549,415,117,70,0,161,543,361,213,12,2441
2122-P08,6 à 12 mois,RSS13,102,192,32,5,0,75,41,40,46,2,535
2122-P08,Plus d'1 an,RSS13,72,112,23,6,0,39,17,12,7,8,296
2122-P08,0 à 6 mois,RSS14,849,898,304,90,0,210,1588,512,397,98,4946
2122-P08,6 à 12 mois,RSS14,540,411,143,28,0,63,615,364,186,32,2382
2122-P08,Plus d'1 an,RSS14,357,365,167,65,0,28,469,350,206,17,2024
2122-P08,0 à 6 mois,RSS15,1396,1479,251,73,0,415,853,326,271,14,5078
2122-P08,6 à 12 mois,RSS15,420,1410,162,22,0,73,31,164,126,20,2428
2122-P08,Plus d'1 an,RSS15,365,598,162,11,0,50,2,59,142,16,1405
2122-P08,0 à 6 mois,RSS16,2434,3684,481,65,51,1028,3058,1113,735,289,12938
2122-P08,6 à 12 mois,RSS16,883,1685,218,11,28,285,1446,429,218,78,5281
2122-P08,Plus d'1 an,RSS16,642,1766,223,9,60,130,387,250,161,17,3645
2122-P09,0 à 6 mois,RSS01,397,872,0,0,0,139,596,30,282,127,2443
2122-P09,6 à 12 mois,RSS01,92,264,0,0,0,28,28,11,81,31,535
2122-P09,Plus d'1 an,RSS01,93,24,0,0,0,10,8,13,15,8,171
2122-P09,0 à 6 mois,RSS02,591,879,242,50,83,240,690,188,271,146,3380
2122-P09,6 à 12 mois,RSS02,282,322,95,16,37,105,89,98,219,98,1361
2122-P09,Plus d'1 an,RSS02,256,120,74,25,26,48,24,49,174,17,813
2122-P09,0 à 6 mois,RSS03,1961,2633,190,78,215,475,2212,1644,667,401,10476
2122-P09,6 à 12 mois,RSS03,377,1308,146,2,65,88,149,462,125,192,2914
2122-P09,Plus d'1 an,RSS03,74,92,205,0,11,3,7,7,3,30,432
2122-P09,0 à 6 mois,RSS04,750,1237,83,44,71,510,1123,459,458,268,5003
2122-P09,6 à 12 mois,RSS04,225,268,20,16,25,82,320,108,135,131,1330
2122-P09,Plus d'1 an,RSS04,43,52,77,5,1,4,33,3,85,16,319
2122-P09,0 à 6 mois,RSS05,1185,1669,582,48,202,671,1945,684,336,183,7505
2122-P09,6 à 12 mois,RSS05,478,642,296,6,130,361,579,144,105,94,2835
2122-P09,Plus d'1 an,RSS05,406,147,153,0,45,240,119,95,91,59,1355
2122-P09,0 à 6 mois,RSS06,6192,5085,2721,313,425,2356,7586,2813,1972,1611,31074
2122-P09,6 à 12 mois,RSS06,1528,2370,1111,69,143,580,1816,1039,366,209,9231
2122-P09,Plus d'1 an,RSS06,976,1583,911,23,93,161,867,452,290,151,5507
2122-P09,0 à 6 mois,RSS07,892,728,107,29,63,135,1366,452,154,93,4019
2122-P09,6 à 12 mois,RSS07,511,508,50,15,36,188,1138,283,68,36,2833
2122-P09,Plus d'1 an,RSS07,299,519,97,7,138,316,168,191,115,70,1920
2122-P09,0 à 6 mois,RSS08,322,445,7,0,0,181,714,40,158,55,1922
2122-P09,6 à 12 mois,RSS08,40,103,0,0,0,4,280,3,61,4,495
2122-P09,Plus d'1 an,RSS08,7,25,0,0,0,1,0,,7,3,43
2122-P09,0 à 6 mois,RSS09,90,145,21,0,0,45,83,78,18,38,518
2122-P09,6 à 12 mois,RSS09,9,8,32,0,0,1,4,11,5,6,76
2122-P09,Plus d'1 an,RSS09,1,0,11,0,0,0,0,2,2,0,16
2122-P09,0 à 6 mois,RSS10,30,0,0,0,0,11,0,,,0,41
2122-P09,6 à 12 mois,RSS10,0,0,0,0,0,2,0,8,,0,10
2122-P09,0 à 6 mois,RSS11,168,241,2,0,0,41,240,82,5,84,863
2122-P09,6 à 12 mois,RSS11,41,58,0,0,0,3,2,11,,23,138
2122-P09,Plus d'1 an,RSS11,8,4,0,0,0,0,0,,,4,16
2122-P09,0 à 6 mois,RSS12,757,1013,195,0,0,234,796,509,322,359,4185
2122-P09,6 à 12 mois,RSS12,140,261,153,0,0,27,250,192,215,80,1318
2122-P09,Plus d'1 an,RSS12,181,40,85,0,0,10,70,71,65,71,593
2122-P09,0 à 6 mois,RSS13,481,400,115,65,0,209,591,330,192,9,2392
2122-P09,6 à 12 mois,RSS13,110,181,35,4,0,66,41,29,52,3,521
2122-P09,Plus d'1 an,RSS13,57,90,21,6,0,39,18,11,7,8,257
2122-P09,0 à 6 mois,RSS14,847,898,310,86,0,200,1601,514,373,110,4939
2122-P09,6 à 12 mois,RSS14,556,411,133,26,0,60,548,355,199,22,2310
2122-P09,Plus d'1 an,RSS14,386,369,173,67,0,22,406,391,216,28,2058
2122-P09,0 à 6 mois,RSS15,1514,1607,221,78,0,372,836,348,257,13,5246
2122-P09,6 à 12 mois,RSS15,394,1320,168,19,0,65,14,169,122,17,2288
2122-P09,Plus d'1 an,RSS15,373,595,148,8,0,54,3,70,128,19,1398
2122-P09,0 à 6 mois,RSS16,2339,3487,461,62,54,1020,2895,1161,763,282,12524
2122-P09,6 à 12 mois,RSS16,847,1697,206,10,23,270,1447,455,193,105,5253
2122-P09,Plus d'1 an,RSS16,638,1795,225,7,56,117,344,259,158,22,3621
2122-P10,0 à 6 mois,RSS01,416,844,0,0,0,133,625,40,243,146,2447
2122-P10,6 à 12 mois,RSS01,97,268,0,0,0,29,32,9,83,31,549
2122-P10,Plus d'1 an,RSS01,81,23,0,0,0,9,6,4,11,8,142
2122-P10,0 à 6 mois,RSS02,604,932,259,49,104,230,878,226,248,108,3638
2122-P10,6 à 12 mois,RSS02,291,343,110,17,38,130,103,115,234,113,1494
2122-P10,Plus d'1 an,RSS02,273,117,79,26,28,46,26,54,178,19,846
2122-P10,0 à 6 mois,RSS03,1990,2654,173,100,237,526,2203,1731,711,378,10703
2122-P10,6 à 12 mois,RSS03,395,1448,157,7,71,96,215,559,157,230,3335
2122-P10,Plus d'1 an,RSS03,84,152,200,0,21,4,9,15,7,47,539
2122-P10,0 à 6 mois,RSS04,847,1278,90,54,81,554,1215,490,428,275,5312
2122-P10,6 à 12 mois,RSS04,245,314,19,17,22,93,341,132,132,132,1447
2122-P10,Plus d'1 an,RSS04,45,57,73,7,3,5,43,7,90,14,344
2122-P10,0 à 6 mois,RSS05,1228,1682,560,46,194,696,1950,719,329,202,7606
2122-P10,6 à 12 mois,RSS05,525,805,281,5,138,401,591,175,108,98,3127
2122-P10,Plus d'1 an,RSS05,411,182,122,0,56,281,133,106,90,68,1449
2122-P10,0 à 6 mois,RSS06,6461,5098,2892,299,452,2419,7725,3031,2143,1710,32230
2122-P10,6 à 12 mois,RSS06,1707,2600,1122,72,172,662,1857,1091,442,218,9943
2122-P10,Plus d'1 an,RSS06,1062,1554,1003,21,96,198,916,534,293,148,5825
2122-P10,0 à 6 mois,RSS07,864,707,115,30,49,122,1306,452,154,97,3896
2122-P10,6 à 12 mois,RSS07,531,545,50,15,47,161,1169,307,82,33,2940
2122-P10,Plus d'1 an,RSS07,323,511,99,8,134,337,185,223,114,71,2005
2122-P10,0 à 6 mois,RSS08,357,443,11,0,0,192,630,31,158,50,1872
2122-P10,6 à 12 mois,RSS08,55,119,0,0,0,13,336,2,64,3,592
2122-P10,Plus d'1 an,RSS08,8,23,0,0,0,1,0,,12,2,46
2122-P10,0 à 6 mois,RSS09,111,177,20,0,0,53,79,108,23,43,614
2122-P10,6 à 12 mois,RSS09,4,10,34,0,0,2,3,14,7,1,75
2122-P10,Plus d'1 an,RSS09,3,1,13,0,0,1,2,3,2,0,25
2122-P10,0 à 6 mois,RSS10,28,0,0,0,0,16,0,,,0,44
2122-P10,6 à 12 mois,RSS10,0,0,0,0,0,1,0,8,,0,9
2122-P10,0 à 6 mois,RSS11,191,268,8,0,0,54,267,89,8,89,974
2122-P10,6 à 12 mois,RSS11,49,57,0,0,0,3,2,12,,25,148
2122-P10,Plus d'1 an,RSS11,9,4,0,0,0,0,0,,,4,17
2122-P10,0 à 6 mois,RSS12,803,1071,186,0,0,252,1037,546,346,361,4602
2122-P10,6 à 12 mois,RSS12,162,271,165,0,0,39,227,221,228,84,1397
2122-P10,Plus d'1 an,RSS12,185,66,90,0,0,11,76,81,70,82,661
2122-P10,0 à 6 mois,RSS13,541,445,134,73,0,229,684,420,204,10,2740
2122-P10,6 à 12 mois,RSS13,129,205,36,5,0,74,50,36,69,6,610
2122-P10,Plus d'1 an,RSS13,63,81,17,6,0,34,17,8,6,8,240
2122-P10,0 à 6 mois,RSS14,991,939,307,87,0,206,1471,475,419,121,5016
2122-P10,6 à 12 mois,RSS14,591,446,154,32,0,62,626,361,187,24,2483
2122-P10,Plus d'1 an,RSS14,406,400,172,69,0,23,488,419,198,25,2200
2122-P10,0 à 6 mois,RSS15,1507,1658,200,88,0,406,907,360,271,19,5416
2122-P10,6 à 12 mois,RSS15,398,1423,193,26,0,71,20,185,109,11,2436
2122-P10,Plus d'1 an,RSS15,383,661,161,8,0,55,2,80,135,26,1511
2122-P10,0 à 6 mois,RSS16,2491,3497,490,67,51,991,3154,1264,754,258,13017
2122-P10,6 à 12 mois,RSS16,858,1859,213,10,28,324,1539,480,207,126,5644
2122-P10,Plus d'1 an,RSS16,681,1883,232,9,55,131,343,268,173,20,3795
2122-P11,0 à 6 mois,RSS01,478,765,0,0,0,120,572,32,194,143,2304
2122-P11,6 à 12 mois,RSS01,110,264,0,0,0,27,37,11,81,33,563
2122-P11,Plus d'1 an,RSS01,87,28,0,0,0,7,6,4,14,8,154
2122-P11,0 à 6 mois,RSS02,631,990,324,60,108,226,906,205,276,121,3847
2122-P11,6 à 12 mois,RSS02,279,368,124,13,32,119,117,125,204,57,1438
2122-P11,Plus d'1 an,RSS02,286,137,93,27,34,47,36,67,194,84,1005
2122-P11,0 à 6 mois,RSS03,2089,2796,224,121,257,599,2465,1795,740,384,11470
2122-P11,6 à 12 mois,RSS03,464,1455,155,8,71,119,239,603,147,244,3505
2122-P11,Plus d'1 an,RSS03,64,233,200,1,28,2,10,25,10,57,630
2122-P11,0 à 6 mois,RSS04,962,1354,90,64,92,551,1123,568,473,263,5540
2122-P11,6 à 12 mois,RSS04,249,348,35,9,18,107,358,130,126,147,1527
2122-P11,Plus d'1 an,RSS04,65,70,70,15,5,8,57,19,100,25,434
2122-P11,0 à 6 mois,RSS05,1216,1739,580,40,194,665,2289,731,369,207,8030
2122-P11,6 à 12 mois,RSS05,508,826,255,5,131,385,575,197,112,103,3097
2122-P11,Plus d'1 an,RSS05,418,215,131,0,71,316,122,104,95,67,1539
2122-P11,0 à 6 mois,RSS06,6530,5238,2817,309,473,2431,7793,2966,2168,1803,32528
2122-P11,6 à 12 mois,RSS06,1791,2626,1170,68,177,697,1903,1143,483,236,10294
2122-P11,Plus d'1 an,RSS06,1115,1629,1019,22,98,215,908,566,315,136,6023
2122-P11,0 à 6 mois,RSS07,841,653,118,22,42,140,1334,471,175,111,3907
2122-P11,6 à 12 mois,RSS07,487,525,48,12,49,134,856,295,83,28,2517
2122-P11,Plus d'1 an,RSS07,328,473,94,8,127,353,335,272,112,73,2175
2122-P11,0 à 6 mois,RSS08,334,430,4,0,0,185,543,28,178,53,1755
2122-P11,6 à 12 mois,RSS08,52,126,0,0,0,19,518,2,67,4,788
2122-P11,Plus d'1 an,RSS08,4,22,0,0,0,1,1,,18,2,48
2122-P11,0 à 6 mois,RSS09,121,176,20,0,0,52,99,99,19,30,616
2122-P11,6 à 12 mois,RSS09,4,10,34,0,0,2,3,9,6,0,68
2122-P11,Plus d'1 an,RSS09,5,0,12,0,0,0,2,1,2,0,22
2122-P11,0 à 6 mois,RSS10,36,0,0,0,0,21,0,,,0,57
2122-P11,6 à 12 mois,RSS10,0,0,0,0,0,0,0,1,,0,1
2122-P11,Plus d'1 an,RSS10,0,0,0,0,0,1,0,7,,0,8
2122-P11,0 à 6 mois,RSS11,194,250,11,0,1,44,258,95,11,86,950
2122-P11,6 à 12 mois,RSS11,50,60,0,0,0,3,12,11,1,34,171
2122-P11,Plus d'1 an,RSS11,11,5,0,0,0,0,0,,,4,20
2122-P11,0 à 6 mois,RSS12,809,1255,168,0,0,300,1085,501,369,329,4816
2122-P11,6 à 12 mois,RSS12,142,242,140,0,0,42,184,220,215,92,1277
2122-P11,Plus d'1 an,RSS12,185,52,97,0,0,9,78,89,83,87,680
2122-P11,0 à 6 mois,RSS13,563,458,165,53,0,231,785,433,208,9,2905
2122-P11,6 à 12 mois,RSS13,118,171,32,7,0,66,41,49,77,6,567
2122-P11,Plus d'1 an,RSS13,58,100,20,4,0,40,14,7,8,8,259
2122-P11,0 à 6 mois,RSS14,944,954,310,91,0,199,1331,480,435,123,4867
2122-P11,6 à 12 mois,RSS14,514,422,149,36,0,62,681,313,188,26,2391
2122-P11,Plus d'1 an,RSS14,431,418,173,68,0,27,491,440,203,20,2271
2122-P11,0 à 6 mois,RSS15,1611,1557,167,94,0,407,1080,354,239,23,5532
2122-P11,6 à 12 mois,RSS15,359,1379,196,23,0,75,31,194,109,12,2378
2122-P11,Plus d'1 an,RSS15,388,723,143,11,0,49,5,95,129,22,1565
2122-P11,0 à 6 mois,RSS16,2456,3354,490,62,50,1012,2978,1321,743,241,12707
2122-P11,6 à 12 mois,RSS16,881,1864,207,10,34,349,1492,483,210,135,5665
2122-P11,Plus d'1 an,RSS16,708,2021,249,8,54,150,373,282,154,23,4022
2122-P12,0 à 6 mois,RSS01,452,786,0,0,0,114,567,23,206,134,2282
2122-P12,6 à 12 mois,RSS01,105,270,0,0,0,30,41,7,72,22,547
2122-P12,Plus d'1 an,RSS01,86,29,0,0,0,8,6,7,15,7,158
2122-P12,0 à 6 mois,RSS02,634,983,311,54,139,219,999,204,296,136,3975
2122-P12,6 à 12 mois,RSS02,262,356,126,13,44,113,109,103,171,54,1351
2122-P12,Plus d'1 an,RSS02,352,142,73,26,34,57,43,75,187,90,1079
2122-P12,0 à 6 mois,RSS03,2162,2836,202,113,264,613,2586,1739,779,414,11708
2122-P12,6 à 12 mois,RSS03,483,1412,124,11,55,96,232,611,141,243,3408
2122-P12,Plus d'1 an,RSS03,56,262,243,2,30,3,7,41,11,63,718
2122-P12,0 à 6 mois,RSS04,1037,1361,83,63,83,506,1131,550,487,273,5574
2122-P12,6 à 12 mois,RSS04,232,341,37,8,20,116,322,135,105,138,1454
2122-P12,Plus d'1 an,RSS04,75,81,72,19,6,10,49,29,123,28,492
2122-P12,0 à 6 mois,RSS05,1221,1836,624,40,191,652,2267,772,391,210,8204
2122-P12,6 à 12 mois,RSS05,477,802,281,7,123,359,545,202,111,83,2990
2122-P12,Plus d'1 an,RSS05,435,229,140,0,79,366,126,119,105,91,1690
2122-P12,0 à 6 mois,RSS06,6658,5443,2808,329,471,2487,8020,3147,2304,1739,33406
2122-P12,6 à 12 mois,RSS06,1838,2615,1218,66,172,741,1819,1100,490,265,10324
2122-P12,Plus d'1 an,RSS06,1073,1644,1006,23,78,221,883,570,306,101,5905
2122-P12,0 à 6 mois,RSS07,793,651,112,23,42,127,1267,464,183,111,3773
2122-P12,6 à 12 mois,RSS07,487,510,43,11,43,95,749,301,83,29,2351
2122-P12,Plus d'1 an,RSS07,360,457,90,10,125,355,338,288,112,70,2205
2122-P12,0 à 6 mois,RSS08,352,451,14,0,0,193,531,34,192,57,1824
2122-P12,6 à 12 mois,RSS08,44,130,0,0,0,13,487,6,65,4,749
2122-P12,Plus d'1 an,RSS08,10,19,0,0,0,1,6,,21,2,59
2122-P12,0 à 6 mois,RSS09,148,141,18,0,0,65,120,105,18,35,650
2122-P12,6 à 12 mois,RSS09,3,13,23,0,0,2,2,6,5,1,55
2122-P12,Plus d'1 an,RSS09,6,0,20,0,0,0,1,1,,0,28
2122-P12,0 à 6 mois,RSS10,38,0,0,0,0,29,0,,,0,67
2122-P12,6 à 12 mois,RSS10,0,0,0,0,0,1,0,1,,0,2
2122-P12,Plus d'1 an,RSS10,0,0,0,0,0,1,0,7,,0,8
2122-P12,0 à 6 mois,RSS11,213,252,12,0,0,50,231,120,21,75,974
2122-P12,6 à 12 mois,RSS11,52,76,0,0,0,4,16,16,,42,206
2122-P12,Plus d'1 an,RSS11,10,8,0,0,0,0,0,,,10,28
2122-P12,0 à 6 mois,RSS12,756,1260,161,0,0,291,1072,508,336,363,4747
2122-P12,6 à 12 mois,RSS12,130,226,101,0,0,40,193,200,188,68,1146
2122-P12,Plus d'1 an,RSS12,157,50,88,0,0,14,76,96,82,86,649
2122-P12,0 à 6 mois,RSS13,494,433,128,59,0,260,683,399,180,14,2650
2122-P12,6 à 12 mois,RSS13,124,151,35,5,0,83,35,49,73,7,562
2122-P12,Plus d'1 an,RSS13,60,79,23,3,0,38,3,6,5,8,225
2122-P12,0 à 6 mois,RSS14,944,949,283,73,0,203,1320,512,417,120,4821
2122-P12,6 à 12 mois,RSS14,422,404,177,44,0,64,707,297,177,40,2332
2122-P12,Plus d'1 an,RSS14,461,415,171,69,0,31,476,460,210,23,2316
2122-P12,0 à 6 mois,RSS15,1664,1675,184,80,0,458,1079,388,244,23,5795
2122-P12,6 à 12 mois,RSS15,370,1310,183,16,0,61,24,168,119,5,2256
2122-P12,Plus d'1 an,RSS15,375,790,142,11,0,44,2,115,118,22,1619
2122-P12,0 à 6 mois,RSS16,2461,3237,475,78,49,1041,3632,1361,759,247,13340
2122-P12,6 à 12 mois,RSS16,897,1807,214,13,32,337,1527,462,216,127,5632
2122-P12,Plus d'1 an,RSS16,652,2098,270,10,57,161,407,296,133,32,4116
2122-P13,0 à 6 mois,RSS01,469,758,0,0,0,117,517,29,197,107,2194
2122-P13,6 à 12 mois,RSS01,82,290,0,0,0,23,56,7,73,29,560
2122-P13,Plus d'1 an,RSS01,76,24,0,0,0,8,6,8,15,7,144
2122-P13,0 à 6 mois,RSS02,607,904,244,47,116,198,861,211,319,140,3647
2122-P13,6 à 12 mois,RSS02,263,405,132,19,42,130,116,99,164,66,1436
2122-P13,Plus d'1 an,RSS02,354,147,90,28,30,55,72,78,181,104,1139
2122-P13,0 à 6 mois,RSS03,2047,2714,196,124,255,616,2577,1635,863,425,11452
2122-P13,6 à 12 mois,RSS03,526,1445,120,10,53,115,287,605,135,210,3506
2122-P13,Plus d'1 an,RSS03,67,240,269,0,38,2,8,77,19,71,791
2122-P13,0 à 6 mois,RSS04,1128,1345,84,67,83,507,1108,557,527,293,5699
2122-P13,6 à 12 mois,RSS04,209,392,43,10,24,111,314,109,110,155,1477
2122-P13,Plus d'1 an,RSS04,92,77,71,17,5,9,36,43,125,31,506
2122-P13,0 à 6 mois,RSS05,1185,1612,636,41,178,601,2396,797,380,210,8036
2122-P13,6 à 12 mois,RSS05,509,859,266,6,133,380,625,226,138,72,3214
2122-P13,Plus d'1 an,RSS05,443,275,126,3,97,370,129,127,109,99,1778
2122-P13,0 à 6 mois,RSS06,6530,5207,2422,343,458,2296,7884,3010,2239,1577,31966
2122-P13,6 à 12 mois,RSS06,1909,2779,1191,59,177,776,1908,1105,550,317,10771
2122-P13,Plus d'1 an,RSS06,972,1627,981,22,65,189,876,568,300,77,5677
2122-P13,0 à 6 mois,RSS07,676,645,140,25,45,145,1387,420,209,124,3816
2122-P13,6 à 12 mois,RSS07,493,461,29,15,44,84,598,334,80,34,2172
2122-P13,Plus d'1 an,RSS07,380,478,99,10,124,360,341,319,97,71,2279
2122-P13,0 à 6 mois,RSS08,342,402,13,0,0,241,476,25,193,71,1763
2122-P13,6 à 12 mois,RSS08,72,111,0,0,0,18,444,4,77,9,735
2122-P13,Plus d'1 an,RSS08,11,5,0,0,0,1,12,,19,2,50
2122-P13,0 à 6 mois,RSS09,144,137,10,0,0,63,149,104,13,35,655
2122-P13,6 à 12 mois,RSS09,3,7,29,0,0,4,2,10,3,2,60
2122-P13,Plus d'1 an,RSS09,1,0,20,0,0,0,0,1,,0,22
2122-P13,0 à 6 mois,RSS10,39,0,0,0,0,28,0,,,1,68
2122-P13,6 à 12 mois,RSS10,0,0,0,0,0,1,0,,,0,1
2122-P13,Plus d'1 an,RSS10,0,0,0,0,0,0,0,4,,0,4
2122-P13,0 à 6 mois,RSS11,185,232,10,0,0,62,221,115,36,80,941
2122-P13,6 à 12 mois,RSS11,31,33,2,0,0,5,3,7,,25,106
2122-P13,Plus d'1 an,RSS11,13,1,0,0,0,1,0,1,,5,21
2122-P13,0 à 6 mois,RSS12,790,1281,163,0,0,255,954,502,358,373,4676
2122-P13,6 à 12 mois,RSS12,124,260,105,0,0,43,181,198,143,92,1146
2122-P13,Plus d'1 an,RSS12,131,57,81,0,0,14,98,107,93,85,666
2122-P13,0 à 6 mois,RSS13,470,412,111,49,0,272,657,446,171,13,2601
2122-P13,6 à 12 mois,RSS13,101,172,35,6,0,72,16,65,65,6,538
2122-P13,Plus d'1 an,RSS13,41,66,13,3,0,42,2,1,2,5,175
2122-P13,0 à 6 mois,RSS14,912,926,243,62,0,229,1378,463,383,133,4729
2122-P13,6 à 12 mois,RSS14,402,450,202,49,0,50,697,285,157,44,2336
2122-P13,Plus d'1 an,RSS14,469,398,179,71,0,35,385,476,247,26,2286
2122-P13,0 à 6 mois,RSS15,1676,1760,185,102,0,433,1100,333,270,29,5888
2122-P13,6 à 12 mois,RSS15,391,1229,167,21,0,67,32,157,110,5,2179
2122-P13,Plus d'1 an,RSS15,396,867,147,10,0,31,2,110,104,23,1690
2122-P13,0 à 6 mois,RSS16,2408,2951,443,62,46,1033,3919,1277,786,209,13134
2122-P13,6 à 12 mois,RSS16,846,1868,246,16,33,360,1417,484,224,138,5632
2122-P13,Plus d'1 an,RSS16,586,2062,259,8,57,149,420,304,127,27,3999
2223-P01,0 à 6 mois,RSS01,433,756,0,0,0,110,526,19,189,147,2180
2223-P01,6 à 12 mois,RSS01,81,303,0,0,0,23,56,10,73,30,576
2223-P01,Plus d'1 an,RSS01,79,26,0,0,0,6,5,7,19,10,152
